,Fz,FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4,P1,Pz,P2,POz
feet,0.2046124829310332,0.8817213329324253,0.5104758356050695,0.5579450594665392,0.3113677529705708,0.7513659489250416,0.6093988287920847,0.8939321337808954,0.5561828859465717,0.7111539478258238,0.34179181092707356,0.5313641756963557,0.5926124753998855,0.9445470791521506,0.5938524134396109,0.8766698744555024,0.5030344840377541,0.6484984468395064,0.825190178196614,0.75821196604192,0.5739569204341736,0.5378828606876466
left_hand,0.6389907374373192,0.9378729586146607,0.5756982702288607,0.8709499997942799,0.41356392927444,0.8959476428404036,0.541606364988176,0.8250541478093648,0.8705820879879299,0.9254579524744847,0.5805069544266628,0.6602278360351268,0.6236603694648339,0.9366918082151363,0.7481405038542775,0.8952404489093869,0.6341711707858088,0.34415232434458715,0.7472487735935119,0.8578721340949186,0.6851162939309953,0.6504300304894916
right_hand,0.25812400503427074,0.9123186438252859,0.5907446022710279,0.9090113384859001,0.3665934716630334,0.5184288874519767,0.6381055981495087,0.9112895128652277,0.5727361860191226,0.8041276838016516,0.45025106458303343,0.8185176983595008,0.6376373326996558,0.9096295914285395,0.6155342929809159,0.635531375101322,0.8175787248185814,0.6552880593676337,0.6469129434062415,0.7651515237269317,0.398382875278967,0.7550141665336518
tongue,0.8655887112331028,0.956370507666392,0.5469854597484716,0.8990450184708421,0.42232536932504805,0.7377510335562935,0.7675828014251086,0.9122000908190333,0.5974935452611735,0.7139123450326124,0.4609516144515679,0.5145428298289897,0.5718248214125305,0.9278788988144933,0.6320887291574387,0.8691518641166224,0.4792493666855807,0.5411037244659743,0.8041234310712497,0.7607918109123447,0.5707588188487897,0.5926988636329855
