Augmentation (%),EEGNet Accuracy
0.0,0.9045138888888888
0.07,0.9079861111111112
0.1,0.8680555555555556
0.21,0.890625
0.53,0.890625
0.71,0.828125
1.0,0.8784722222222222
2.0,0.8871527777777778
