,Fz,FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4,P1,Pz,P2,POz
feet,0.2869812378025115,0.44849166726513107,0.7471639769929277,0.6815229657355452,0.4396976639976725,0.42678143711447963,0.8992905194196061,0.5580464439560668,0.5769966967637536,0.7991191749299338,0.8265780759801028,0.4331806522155452,0.8803929166831989,0.7224053669592,0.6471666003294764,0.6439772091011251,0.45016508217036455,0.6963204006859837,0.6837545986196621,0.8448498710763465,0.3466208970795668,0.5341784563297202
left_hand,0.3361594098099969,0.3856284950893227,0.5543215166118394,0.6022559616289379,0.5302579189435109,0.3502468307351905,0.8714022748431208,0.689226551519434,0.5952181900013395,0.6256812358775522,0.5688178712143239,0.3401658001916709,0.8163094433249664,0.8707699176786043,0.6084095155216122,0.7081466946285254,0.7287975890518984,0.3454770216359704,0.7588626879574621,0.4861539604683174,0.42708387482921145,0.5709503714857072
right_hand,0.20601806039351508,0.713360402986449,0.46150545105087487,0.6351279350106588,0.6427070204029843,0.44213478693535163,0.9418091861681043,0.8542301649906554,0.5948449716615418,0.8185331027712514,0.5513184595193479,0.37080815125750916,0.8947995702692914,0.8661822146000983,0.5096911823803888,0.6467596885559589,0.8686793066458127,0.7200842739951561,0.8739032243808937,0.5662223759895458,0.40851721757677056,0.5414969296150601
tongue,0.07077687359573132,0.4589194253488028,0.5851864229609814,0.6617119914536578,0.6420747964166725,0.33925903363726895,0.8242433420165246,0.6095801500176673,0.62452886082875,0.6482910298743559,0.7268451587779643,0.43161093032880243,0.7985667212028453,0.8755780930392947,0.5611829580172831,0.8116791665471956,0.8401821448509902,0.29997681498652723,0.8898369370847053,0.7934565304111675,0.47950898478137244,0.7121839604711511
