,Fz,FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4,P1,Pz,P2,POz
feet,0.2702566789257823,0.8258987760831387,0.5553819503840028,0.6489333486176543,0.7033677443444877,0.5472530687164658,0.5380286762219705,0.8905464403646355,0.5234470602554289,0.6017344690090595,0.8494807187924711,0.4675614999916703,0.5492733481478997,0.846360777076827,0.7077056344765497,0.578363138610207,0.7980920221422222,0.5152310288552387,0.9351096542514339,0.8706461861448689,0.34616364818922774,0.5152282447599582
left_hand,0.35326765702970725,0.8324044258831637,0.5449519996677324,0.6399860105823778,0.7069114484329058,0.4418350142266731,0.5262334671754938,0.8880916997869427,0.7928805999395514,0.6094919864354212,0.7956198221234441,0.340960938137955,0.6730513873057191,0.7735831210538398,0.7111568008791209,0.6281931419925044,0.7812178264174185,0.5142919074258921,0.7775948387860998,0.8936206340019502,0.41427971579970313,0.484803688676326
right_hand,0.22536666181800136,0.8931913069400265,0.5711809831690492,0.6099524250544617,0.7907486615968577,0.3956692809401406,0.8022726372086657,0.9122251444143201,0.7298014039059384,0.6029521602784009,0.6171968347575673,0.476981810666886,0.6529820593917322,0.8691299256709777,0.8323985938108728,0.633339405908642,0.8233254064727443,0.6453450019982,0.7818256013203192,0.8631374264869771,0.6150437650367597,0.5528130020656307
tongue,0.6235710076382247,0.8126726409877777,0.6878007510108393,0.6696444724654321,0.8778945700500355,0.4992565816854148,0.7683141891213795,0.8614157766184071,0.5956331516074519,0.6418001235073937,0.6555828765380417,0.5929908696409079,0.49558253355925197,0.8584958156092977,0.6670836606076468,0.6291049259530082,0.7383372699358711,0.6142769810757931,0.4954240356532537,0.7714149219690271,0.4384030329952859,0.3583256795679793
