TIMESTAMP,POWER,Azimuth,AirTemp,RelativeHumidity,CloudOpacity,Dhi,Ghi,WindSpeed10m,Zenith
2020-10-15 07:00:00,432.0,-92.0,11.258333333333333,61.25833333333333,5.791666666666667,74.25,198.58333333333331,7.35,75.5
2020-10-15 08:00:00,805.1666666666666,-102.5,12.233333333333334,59.75833333333333,6.383333333333333,122.75,381.25,7.400000000000001,64.16666666666667
2020-10-15 09:00:00,2108.75,-114.66666666666669,13.375,57.99166666666667,7.449999999999999,163.83333333333334,544.9166666666666,7.05,53.583333333333336
2020-10-15 10:00:00,2205.833333333333,-129.66666666666666,14.666666666666666,54.78333333333333,32.333333333333336,363.1666666666667,497.5833333333333,6.466666666666666,43.91666666666666
2020-10-15 11:00:00,3271.1666666666665,-150.0018333333333334,15.75,53.35,10.3,241.66666666666663,745.25,6.033333333333334,36.66666666666666
2020-10-15 12:00:00,1865.4166666666667,-55.25,16.825,52.775,54.25,330.75,397.0,5.325,33.25
2020-10-15 13:00:00,1977.6666666666667,158.25,17.508333333333333,53.1,43.36666666666667,450.5833333333333,477.5833333333333,4.491666666666666,34.916666666666664
2020-10-15 14:00:00,1502.8333333333333,136.25,17.758333333333333,54.76666666666667,55.00833333333333,300.5833333333333,346.5833333333333,3.591666666666667,41.083333333333336
2020-10-15 15:00:00,1128.4166666666667,119.33333333333331,17.95,54.275,51.575,302.6666666666667,303.9166666666667,2.708333333333333,49.833333333333336
2020-10-15 16:00:00,763.0,106.5,17.925,57.083333333333336,59.35,179.0,179.33333333333334,2.15,60.16666666666666
2020-10-15 17:00:00,631.3333333333334,95.41666666666669,17.316666666666666,64.72500000000001,47.36666666666667,140.33333333333334,140.33333333333334,1.35,71.41666666666667
2020-10-15 18:00:00,186.25,85.41666666666667,16.908333333333335,65.89166666666667,43.958333333333336,45.75,45.75,0.5083333333333333,82.5
2020-10-15 19:00:00,10.416666666666666,75.58333333333333,16.458333333333332,70.31666666666666,58.708333333333336,0.3333333333333333,0.3333333333333333,0.6166666666666667,93.66666666666669
2020-10-15 20:00:00,0.001,65.08333333333333,16.4,70.00175,47.06666666666666,0.001,0.001,1.025,104.25
2020-10-15 21:00:00,0.001,53.16666666666666,16.150000000000002,71.75,65.14166666666667,0.001,0.001,1.2666666666666666,113.91666666666669
2020-10-15 22:00:00,0.001,38.91666666666666,15.675,76.625,94.84166666666664,0.001,0.001,1.2416666666666667,122.08333333333331
2020-10-15 23:00:00,0.001,22.25,15.375,78.72500000000001,84.71666666666667,0.001,0.001,1.175,127.66666666666669
2020-10-16 00:00:00,0.001,3.333333333333333,15.116666666666667,79.6,91.8,0.001,0.001,0.8333333333333334,130.001
2020-10-16 01:00:00,0.001,-15.833333333333334,14.791666666666666,82.04166666666667,95.675,0.001,0.001,0.7583333333333333,128.91666666666666
2020-10-16 02:00:00,0.001,-33.416666666666664,14.341666666666669,86.91666666666667,94.18333333333334,0.001,0.001,0.5,124.33333333333331
2020-10-16 03:00:00,0.001,-48.25,13.933333333333332,89.63333333333333,85.94166666666666,0.001,0.001,0.85,116.91666666666669
2020-10-16 04:00:00,0.001,-61.083333333333336,13.575,90.14166666666668,92.39166666666668,0.001,0.001,2.083333333333333,107.66666666666669
2020-10-16 05:00:00,0.001,-71.91666666666667,13.108333333333334,89.18333333333334,94.18333333333334,0.001,0.001,3.283333333333333,97.25
2020-10-16 06:00:00,27.08333333333333,-81.91666666666667,12.575,88.8,88.24166666666667,5.25,5.25,3.9416666666666655,86.41666666666667
